--- The Return of the King ---,Polarity
Minas Tirith,1.913043478
The Passing of the Grey Company,0.666666667
The Muster of Rohan,1.333333333
The Siege of Gondor,0.761904762
The Ride of Rohirrim,0
The Battle of the Pelennor Fields,0
The Pyre of Denethor,0
The Houses of Healing,2
The Last Debate,1.777777778
The Black Gate Opens,0
The Tower of Cirith Ungol,0.470588235
The Land of Shadow,0.133333333
Mount Doom,0
The Field of Cormallen,2
The Steward and the King,2.461538462
Many Partings,2.307692308
Homeward Bound,1.428571429
Scouring of the Shire,0.7
The Grey Havens,2.25