--- The Silmarillion ---,Polarity
Ainundalë,1.666666667
Valaquenta,3.333333333
Of the Beginning of Days,2.857142857
Of Aulë and Yavanna,2.666666667
Of the Coming of the Elves and the Captivity of Melkor,2.285714286
Of Thingol and Melian,4
Of Eldamar and the Princes of the Eldalië,2
Of Fëanor and the Unchaining of Melkor,2.666666667
Of the Silmarils and the Unrest of the Noldor,1.6
Of the Darkening of Valinor,1.333333333
Of the Flight of the Noldor,0.727272727
Of the Sindar,2.4
Of the Sun and Moon and the Hiding of Valinor,2
Of Men,2
Of the Return of the Noldor,1.4
Of Beleriad and its Realms,4
Of the Noldor in Beleriad,1.5
Of Maeglin,1.714285714
Of the Coming of Men into the West,2
Of the Ruin of Beleriad and the Fall of Fingolfin,0.909090909
Of Beren and Lúthien,0.5
Of the Fifth Battle: Nirnaeth Arnoediad,0.24
Of Túrin Turambar,0.666666667
Of the Ruin of Doriath,0.666666667
Of Tuor and the Fall of Gondolin,0.5
Of the Voyage of Eärendil and the War of Wrath,1.142857143
Akallabêth: The Downfall of Númenor,1.84375
Of the Rings of Power and the Third Age,1.84375