--- The Two Towers ---,Polarity
The Departure of Boromir,0
The Riders of Rohan,0.7
The Uruk-hai,0.857142857
Treebeard,2.347826087
The White Rider,0.5
The King of the Golden Hall,2.470588235
Helm's Deep,0.571428571
The Road to Isengard,1.571428571
Flotsam and Jetsam,0.428571429
The Voice of Saruman,1.882352941
The Palantír,1
The Taming of Smeagol,0.8
The Passage of the Marshes,0.615384615
The Black Gate is Closed,1.2
Of Herbs and Stewed Rabbit,1.833333333
The Window of the West,1.333333333
The Forbidden Pool,0.888888889
Journey to the Cross-roads,0.5
The Stairs to Cirith Ungol,1.166666667
Shelob's Lair,0.444444444
The Choices of Master Samwise,0.857142857